,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"925,038","110,432","52,185"
1,Spain,"219,764","92,355","22,524"
2,Italy,"192,994","60,498","25,969"
3,France,"159,828","43,493","22,245"
4,Germany,"154,999","106,800","5,760"
5,UK,"143,464",135,"19,506"
6,Turkey,"104,912","21,737","2,600"
7,Iran,"88,194","66,599","5,574"
8,China,"82,816","77,346","4,632"
9,Russia,"68,622","5,568",615
10,Brazil,"52,995","27,655","3,670"
11,Belgium,"44,293","10,122","6,679"
12,Canada,"43,888","15,469","2,302"
13,Netherlands,"36,535",3,"4,289"
14,Switzerland,"28,677","21,000","1,589"
15,India,"24,447","5,496",780
16,Portugal,"22,797","1,228",854
17,Ecuador,"22,719","1,366",576
18,Peru,"21,648","7,496",634
19,Ireland,"18,184","9,233","1,014"
20,Sweden,"17,567",550,"2,152"
21,SaudiArabia,"15,102","2,049",127
22,Austria,"15,071","11,872",530
23,Israel,"15,058","6,003",194
24,Mexico,"12,872","2,627","1,221"
25,Japan,"12,712","1,530",345
26,Chile,"12,306","6,327",174
27,Singapore,"12,075",956,12
28,Pakistan,"11,940","2,755",253
29,Poland,"10,892","1,944",494
30,SKorea,"10,718","8,635",240
31,Romania,"10,417","2,817",567
32,UAE,"9,281","1,760",64
33,Belarus,"8,773","1,120",63
34,Qatar,"8,525",809,10
35,Indonesia,"8,211","1,002",689
36,Denmark,"8,210","5,526",403
37,Ukraine,"7,647",601,193
38,Serbia,"7,483","1,094",144
39,Norway,"7,463",32,199
40,Czechia,"7,273","2,371",214
41,Philippines,"7,192",762,477
42,Australia,"6,687","5,273",79
43,DominicanRepublic,"5,749",763,267
44,Malaysia,"5,691","3,663",96
45,Panama,"5,166",271,146
46,Colombia,"4,881","1,003",225
47,Bangladesh,"4,689",112,131
48,Finland,"4,395","2,500",177
49,SouthAfrica,"4,220","1,473",79
50,Egypt,"4,092","1,075",294
51,Morocco,"3,758",486,158
52,Luxembourg,"3,695","3,007",85
53,Argentina,"3,607",976,176
54,Algeria,"3,127","1,408",415
55,Moldova,"3,110",755,84
56,Thailand,"2,854","2,490",50
57,Kuwait,"2,614",613,15
58,Bahrain,"2,518","1,113",8
59,Greece,"2,490",577,130
60,Kazakhstan,"2,416",604,25
61,Hungary,"2,383",401,250
62,Croatia,"2,009",982,51
63,Uzbekistan,"1,804",621,8
64,Oman,"1,790",325,10
65,Iceland,"1,789","1,542",10
66,Iraq,"1,708","1,204",86
67,Estonia,"1,605",206,46
68,Armenia,"1,596",728,27
69,Azerbaijan,"1,592","1,013",21
70,NewZealand,"1,461","1,118",18
71,Cameroon,"1,430",668,43
72,BosniaandHerzegovina,"1,421",538,55
73,Lithuania,"1,410",430,40
74,Slovenia,"1,373",211,80
75,Slovakia,"1,360",355,17
76,Afghanistan,"1,351",188,43
77,NorthMacedonia,"1,326",337,57
78,Cuba,"1,285",416,49
79,Ghana,"1,279",134,10
80,Bulgaria,"1,188",193,54
81,Nigeria,"1,095",208,32
82,IvoryCoast,"1,077",419,14
83,HongKong,"1,036",725,4
84,Djibouti,999,330,2
85,Guinea,954,191,6
86,Tunisia,922,194,38
87,Bolivia,807,54,44
88,Cyprus,804,98,14
89,Latvia,784,267,12
90,Andorra,731,344,40
91,,712,645,13
92,Lebanon,696,140,22
93,CostaRica,687,216,6
94,Niger,681,289,24
95,Albania,678,394,27
96,Kyrgyzstan,656,322,8
97,BurkinaFaso,629,425,41
98,Uruguay,563,369,12
99,Honduras,562,50,47
100,Senegal,545,262,7
101,SanMarino,513,64,40
102,Palestine,484,92,4
103,Malta,447,223,3
104,Georgia,444,132,5
105,Jordan,441,326,7
106,Guatemala,430,30,11
107,Taiwan,428,264,6
108,SriLanka,420,109,7
109,Réunion,412,300,0
110,DRC,394,48,25
111,Mayotte,354,144,4
112,Kenya,336,94,14
113,Mauritius,331,285,9
114,Somalia,328,8,16
115,Mali,325,87,21
116,Montenegro,319,123,6
117,Venezuela,318,132,10
118,IsleofMan,308,230,18
119,Jamaica,288,28,7
120,Tanzania,284,48,10
121,Vietnam,270,220,0
122,ElSalvador,261,72,8
123,Paraguay,223,78,9
124,EquatorialGuinea,214,7,1
125,FaeroeIslands,187,178,0
126,Rwanda,176,87,0
127,Sudan,174,14,16
128,Gabon,172,26,3
129,Martinique,170,77,14
130,Guadeloupe,149,82,12
131,Myanmar,144,9,5
132,Brunei,138,120,1
133,Gibraltar,133,131,0
134,Maldives,129,16,0
135,Cambodia,122,117,0
136,Madagascar,122,61,0
137,Liberia,117,25,8
138,Ethiopia,117,25,3
139,TrinidadandTobago,115,48,8
140,FrenchGuiana,111,87,1
141,Aruba,100,69,2
142,Bermuda,99,39,5
143,Monaco,94,41,4
144,Togo,90,59,6
145,CaboVerde,88,1,1
146,Zambia,84,37,3
147,SierraLeone,82,10,2
148,Liechtenstein,81,55,1
149,Barbados,77,31,6
150,Uganda,75,46,0
151,Bahamas,73,15,11
152,Guyana,73,12,7
153,Haiti,72,6,6
154,CaymanIslands,70,8,1
155,Mozambique,65,12,0
156,Libya,61,18,2
157,FrenchPolynesia,57,41,0
158,Benin,54,27,1
159,GuineaBissau,52,3,0
160,Nepal,49,10,0
161,Macao,45,27,0
162,Syria,42,6,3
163,Chad,40,8,0
164,Eritrea,39,11,0
165,PuertoRico,39,1,2
166,SaintMartin,38,24,3
167,Eswatini,36,10,1
168,Mongolia,36,9,0
169,Malawi,33,4,3
170,Guam,32,0,1
171,Zimbabwe,29,2,4
172,Angola,25,6,2
173,AntiguaandBarbuda,24,11,3
174,TimorLeste,24,2,0
