,State_Name,Total_confirmed,Total_Recovered,Total_Deaths,Date
24,AndamanandNicobarIslands,10,0,0,7/4/2020
19,Chhattisgarh,10,7,0,7/4/2020
13,JammuandKashmir,109,4,2,7/4/2020
11,Haryana,110,29,2,7/4/2020
14,Ladakh,14,4,0,7/4/2020
8,Gujarat,146,22,12,7/4/2020
6,Karnataka,163,20,4,7/4/2020
22,HimachalPradesh,18,1,2,7/4/2020
16,Chandigarh,18,3,0,7/4/2020
26,Manipur,2,0,0,7/4/2020
12,MadhyaPradesh,256,11,15,7/4/2020
18,Assam,26,0,0,7/4/2020
9,Rajasthan,301,25,1,7/4/2020
5,AndhraPradesh,303,5,3,7/4/2020
3,UttarPradesh,305,21,3,7/4/2020
20,Uttarakhand,31,4,0,7/4/2020
17,Bihar,32,9,1,7/4/2020
1,Kerala,327,59,2,7/4/2020
7,Telangana,364,33,11,7/4/2020
25,Jharkhand,4,0,0,7/4/2020
23,Odisha,40,2,0,7/4/2020
4,Delhi,525,16,7,7/4/2020
2,TamilNadu,621,13,5,7/4/2020
21,Goa,7,0,0,7/4/2020
10,Punjab,79,4,7,7/4/2020
15,WestBengal,80,3,6,7/4/2020
0,Maharashtra,868,70,52,7/4/2020
